ward,year,item,category,location,cost
4,2012,Street Resurfacing Menu,Street Resurfacing,ON S RHODES AVE FROM E 31 PL (3132 S) TO E 33 ST (3300 S),89974
4,2012,Street Resurfacing Menu,Street Resurfacing,ON E 49TH ST FROM S DREXEL (W) AV(863 E) TO S ELLIS AV (1000 E),41730
4,2012,Street Light Pole Painting,Lighting,ON BERKELEY FROM E 41 PL (4132 S) TO E 42 PL (4228 S),800
4,2012,Street Light Upgrade,Lighting,ON HARPER FROM E 53 ST (5242 S) TO Dead End (5430 S),3850
4,2012,Street Light Upgrade,Lighting,ON 41 FROM S DREXEL AV (900 E) TO S ELLIS AV (942 E),700
4,2012,Street Light Upgrade,Lighting,ON FORRESTVILLE FROM E 48 ST (4800 S) TO E 49 ST (4900 S),1400
4,2012,Street Light Upgrade,Lighting,ON CHAMPLAIN FROM E 43 ST (4300 S) TO E 44 ST (4400 S),1400
4,2012,Street Light Upgrade,Lighting,ON S ELLIS AVE FROM E 43 ST (4300 S) TO E 44 ST (4400 S),1200
4,2012,Chicago Park District,Parks,Sumac Park Playground - 4201 S. Champlain,150000
5,2012,Miscellaneous Other,Misc.,ON E 68TH ST FROM S STONY ISLAND AVE E (1600 E) TO S CREGIER AVE (1800 E),25000
5,2012,Miscellaneous Other,Misc.,ON E 68TH ST FROM S STONY ISLAND AVE E (1600 E) TO S planter box CREGIER AVE (1800 E),12595
5,2012,Miscellaneous Other,Misc.,"ON E 68TH ST FROM S STONY ISLAND AVE E (1600 E) TO S Lights, furniture CREGIER AVE (1800 E)",454404
5,2012,Street Light Residential Staggered Piggy Back Menu,Lighting,ON E 68TH ST FROM S CREGIER AVE (1800 E) TO S STONY ISLAND AVE E (1600 E),250000
5,2012,Street Light Residential Staggered Piggy Back Menu,Lighting,ON ELLIS FROM E 71 ST (7100 S) TO E 73 ST (7300 S),144000
5,2012,Street Light Residential Staggered Piggy Back Menu,Lighting,ON DORCHESTER FROM E 67 ST (6700 S) TO E 71 ST (7100 S),288000
5,2012,Street Light Residential Staggered Piggy Back Menu,Lighting,ON EAST END FROM E 69 ST (6900 S) TO E 71 ST (7100 S),144000
5,2012,Street Light Upgrade,Lighting,ON 60 FROM S BLACKSTONE AV (1436 E) TO S STONY ISLAND AV (1600 E),2000
6,2012,Miscellaneous Other,Misc.,E 83RD ST & S DR MARTIN LUTHER KING JR DR crosswalk markings,1166
6,2012,Street Resurfacing Menu,Street Resurfacing,ON E 85TH ST FROM S STATE ST (0 E) TO S WABASH AV (44 E),38833
6,2012,Street Light Residential Staggered Piggy Back Menu,Lighting,ON 66 FROM S UNION AV (700 W) TO S HALSTED ST (800 W),64000
